編號,巷道名稱,長度,"實際
寬度",受影響建築物之詳細地址,行政區,轄區分隊,分區
643,中正路197巷,50,1.7,1~20號,中西區,永華分隊,紅
644,中正路209巷,50,1.7,1~10號,中西區,永華分隊,紅
645,保安路179巷,50,1.7,1~15號,中西區,永華分隊,紅
646,海安路2段22巷,60,1.1,1~21號,中西區,永華分隊,紅
647,正興街61巷,40,1.3,6~24號,中西區,永華分隊,紅
648,正興街77巷,40,1.3,1~13號,中西區,永華分隊,紅
649,忠孝街90巷,40,1.6,1~17號,中西區,永華分隊,紅
650,忠孝路98巷,40,1.6,1~30號,中西區,永華分隊,紅
651,忠孝街78巷,40,1.6,1~37號,中西區,永華分隊,紅
652,忠孝街93巷,100,1.6,1~22號,中西區,永華分隊,紅
653,信義街,,2,1~116號,中西區,永華分隊,紅
654,協和街200巷,80,1.5,1~10號,中西區,永華分隊,紅
655,文賢路110巷,60,2,1~10號,中西區,永華分隊,紅
656,海安路二段296巷,60,2.2,1~40號,中西區,永華分隊,紅
657,民族路3段222巷,60,2,2~36號,中西區,永華分隊,紅
658,文和街9巷,60,1.6,1~23號,中西區,永華分隊,紅
659,國華街三段245巷,40,1.5,1~34號,中西區,永華分隊,紅
660,國華街三段250巷,40,2,1~50號,中西區,永華分隊,紅
661,成功路313巷,40,2,1~37號,中西區,永華分隊,紅
662,慈聖街,80,2,28~87號,中西區,永華分隊,紅
663,普濟街,60,2,50~75號,中西區,永華分隊,紅
664,友愛街331巷,40,1.8,1~20號,中西區,永華分隊,紅
665,友愛街251巷,40,1.8,1~20號,中西區,永華分隊,紅
666,友愛街206巷,40,1.8,1~20號,中西區,永華分隊,紅
667,中正路199巷,50,1.8,1~15號,中西區,永華分隊,紅
668,信義街60巷,60,1.5,3號,中西區,永華分隊,紅
669,神農街,100,3.8,54-147號,中西區,永華分隊,紅
670,普濟街,100,4,1-50號,中西區,永華分隊,紅
671,友愛街310巷,40,2.5,1-13號,中西區,永華分隊,紅
672,大智街29巷,60,1.5,1-19號,中西區,永華分隊,紅
673,環河街2巷,60,1.5,2-10號,中西區,永華分隊,紅
674,大新街7巷,135,3.2,1-31號,中西區,永華分隊,紅
675,友愛街,200,6,132~300號,中西區,永華分隊,黃
676,國華街2段,100,6,158~214號,中西區,永華分隊,黃
677,河中街,200,5,1~59號,中西區,永華分隊,黃
678,忠孝街,100,5,80~118號,中西區,永華分隊,黃
679,忠孝街,80,3,1~49號,中西區,永華分隊,黃
680,臨安路1段33巷,60,5,1~32號,中西區,永華分隊,黃
681,臨安路1段146巷,60,4,1~33號,中西區,永華分隊,黃
682,協和街,300,5,1~231號,中西區,永華分隊,黃
683,信義街108巷,100,6,1~75號,中西區,永華分隊,黃
684,文賢路67巷,40,3,1-18號,中西區,永華分隊,黃
685,武聖路27巷,60,6,1~30號,中西區,永華分隊,黃
686,和善街43巷,80,6,1~30,中西區,永華分隊,黃
687,和善街44巷,80,5,1~20號,中西區,永華分隊,黃
688,永和街,300,5,25~204號,中西區,永華分隊,黃
689,和美街,300,5,1~35號,中西區,永華分隊,黃
690,中和街217巷,100,5,1~16號,中西區,永華分隊,黃
691,臨安路1段267巷,60,5,1~18號,中西區,永華分隊,黃
692,康樂街225巷,140,5,"9~37號,2-40號",中西區,永華分隊,藍
693,西門路2段307巷,120,4,1-32號,中西區,永華分隊,藍
694,宮後街,120,4,1-20號,中西區,永華分隊,藍
695,府前2街,400,3,"41~147號,2-102號",中西區,永華分隊,藍
696,永華1街148巷,130,3.6,1-50號,中西區,永華分隊,藍
697,永華1街44巷,85,5.5,1-37號,中西區,永華分隊,藍
698,裕民街,160,2.4,1號~85號.2號~104號,北區,公園,紅
699,裕民街51巷,40,1.3,1號~11號.2號~8號,北區,公園,紅
700,裕民街69巷,72,1,1號~19號.2號~8號,北區,公園,紅
701,裕民街72巷,40,1.9,1號~9號.2號~12號,北區,公園,紅
702,裕民街83巷,28,1.3,1號~7號.2號~6號,北區,公園,紅
703,裕民街84巷,40,1.7,1號~9號.2號~10號,北區,公園,紅
704,裕民街94巷,40,1,1號~15號.2號~22號,北區,公園,紅
705,正覺街44巷3弄,60,2,1號~15號,北區,公園,紅
706,正覺街66巷,112,2,1號~29號.2號~26號,北區,公園,紅
707,正覺街102巷,432,3,1號~11號.2號~110號,北區,公園,紅
708,勝利路206巷,232,3,21號~85號.18號~66號,北區,公園,紅
709,勝利路467巷5弄,92,2.5,1號~15號.2號~30號,北區,公園,紅
710,自強街,472,2,1號~119號.2號~114號,北區,公園,紅
711,自強街146巷,36,1.9,1號~9號.2號~8號,北區,公園,紅
712,北華街170巷,176,2.85,1號~45號.2號~6號,北區,公園,紅
713,北華街202巷,42,3,1號~9號.2號~16號,北區,公園,紅
714,北華街250巷,12,1.35,2號~6號,北區,公園,紅
715,北華街309巷,44,3,1號~11號.2號~10號,北區,公園,紅
716,長北街58巷,48,2.85,1號~11號.2號~12號,北區,公園,紅
717,長北街74巷,36,2,2號~18號,北區,公園,紅
718,長北街152巷20弄,128,1,1號~33號.2號~30號,北區,公園,紅
719,長北街194巷,64,1.5,1號~19號.2號~12號,北區,公園,紅
720,長北街210巷,64,3,1號~17號.2號~16號,北區,公園,紅
721,成功路22巷18弄,284,2,1號~45號.2號~96號,北區,公園,紅
722,成功路40巷,44,2.5,19號~29號.22號~30號,北區,公園,紅
723,成功路88巷,28,1.2,1號~13號,北區,公園,紅
724,成功路220巷,8,1.3,1號~3號,北區,公園,紅
725,崇安街,516,2.95,1號~129號.2號~128號,北區,公園,紅
726,崇安街41巷,40,1.6,1號~9號.2號~10號,北區,公園,紅
727,崇安街61巷,40,1.8,2號~20號,北區,公園,紅
728,公園北路78巷,364,3,1號~101號.2號~80號,北區,公園,紅
729,公園北路88巷,288,3,1號~63號.2號~80號,北區,公園,紅
730,公園北路116巷4弄,24,2.5,1號~11號,北區,公園,紅
731,公園北路136巷,28,3,1號~5號.2號~8號,北區,公園,紅
732,長榮路五段117巷,24,1.5,2號~12號,北區,公園,紅
733,長榮路五段199巷,80,3.5,1號~25號.2號~14號,北區,公園,紅
734,長榮路五段378巷,44,1.5,1號~11號.2號~10號,北區,公園,紅
735,長榮路五段383巷,88,1,1號~43號,北區,公園,紅
736,長榮路五段401巷,524,1.5,1號~159號.2號~102號,北區,公園,紅
737,大武街133巷,60,1,2號~30號,北區,公園,紅
738,大武街141巷,128,1,1號~33號.2號~30號,北區,公園,紅
739,旭日街143巷,68,2.5,1號~11號.2號~22號,北區,公園,紅
740,精忠街25巷,140,2,1號~35號.2號~34號,北區,公園,紅
741,精忠街103巷,280,2,1號~39號.2號~98號,北區,公園,紅
742,北門路二段15巷,16,1,7號~13號,北區,公園,紅
743,北門路二段91巷,52,2,1號~17號.2號~8號,北區,公園,紅
744,北門路二段191巷,20,1,1號~5號.2號~4號,北區,公園,紅
745,北門路二段217巷,104,1,1號~19號.2號~32號,北區,公園,紅
746,北門路二段231巷,32,1,1號~7號.2號~8號,北區,公園,紅
747,北門路二段237巷,136,2,1號~45號.2號~62號,北區,公園,紅
748,北門路二段247巷,96,2,1號~21號.2號~26號,北區,公園,紅
749,北門路二段263巷,64,1.5,1號~15號.2號~16號,北區,公園,紅
750,北門路二段291巷,92,1.5,1號~21號.2號~24號,北區,公園,紅
751,北門路二段344巷,12,2,17號~21號,北區,公園,紅
752,北門路二段366巷,12,2,1號~5號,北區,公園,紅
753,北園街53巷,92,1.5,1號~9號.2號~36號,北區,公園,紅
754,北園街87巷,84,2,1號~19號.2號~22號,北區,公園,紅
755,北園街122巷,100,3,1號~25號.2號~24號,北區,公園,紅
756,北園街124巷9弄,96,3,1號~19號.2號~28號,北區,公園,紅
757,北園街128巷,116,2,1號~27號.2號~30號,北區,公園,紅
758,南園街14巷,48,2,1號~13號.2號~10號,北區,公園,紅
759,南園街28巷,64,3,1號~17號.2號~14號,北區,公園,紅
760,南園街42巷,76,3,1號~13號.2號~24號,北區,公園,紅
761,南園街75巷,284,3,1號~67號.2號~74號,北區,公園,紅
762,長榮路四段76巷,172,3.5,1號~43號.2號~42號,北區,公園,紅
763,長榮路四段84巷,112,3.5,1號~29號.2號~26號,北區,公園,紅
764,長榮路四段98巷,112,3,1號~27號.2號~28號,北區,公園,紅
765,長榮路四段183巷,204,3,1號~27號.2號~74號,北區,公園,紅
766,東豐路67巷,64,2,1號~15號.2號~16號,北區,公園,紅
767,東豐路85巷,92,2,1號~13號.2號~34號,北區,公園,紅
768,東豐路133巷,204,3,1號~35號.2號~66號,北區,公園,紅
769,東豐路143巷,260,1.5,1號~45號.2號~84號,北區,公園,紅
770,東豐路227巷24弄,136,3,1號~15號.2號~52號,北區,公園,紅
771,東豐路559巷,36,1,1號~13號.2號~4號,北區,公園,紅
772,公園南路7巷,20,1,1號~3號.4號~8號,北區,公園,紅
773,公園南路23巷,28,1.5,1號~5號.2號~8號,北區,公園,紅
774,公園南路96巷,40,2.1,1號~11號.2號~8號,北區,公園,紅
775,公園南路121巷,32,2,1號~7號.2號~8號,北區,公園,紅
776,公園南路131巷,80,2,1號~17號.2號~22號,北區,公園,紅
777,公園南路152巷,128,3.25,1號~25號.2號~38號,北區,公園,紅
778,公園南路222巷,112,3.5,1號~25號.2號~30號,北區,公園,紅
779,公園南路233巷,232,3.5,1號~49號.2號~66號,北區,公園,紅
780,開元路63巷7弄,136,2,2號~68號,北區,公園,紅
781,開元路68巷3弄,36,2,1號~17號,北區,公園,紅
782,開元路73巷54弄,88,2,1號~21號.2號~22號,北區,公園,紅
783,開元路90巷,40,2,83號~97號.46號~48號,北區,公園,紅
784,開元路148巷,216,2,1號~19號.38號~144號,北區,公園,紅
785,開元路166巷,28,2,1號~13號,北區,公園,紅
786,開元路342巷,148,2,1號~35號.2號~38號,北區,公園,紅
787,開元路394巷,400,3,1號~151號.2號~48號,北區,公園,紅
788,公園路239巷,44,1.5,1號~9號.2號~12號,北區,公園,紅
789,公園路295巷,24,1.5,48號~58號,北區,公園,紅
790,公園路487巷,128,1,1號~33號.2號~30號,北區,公園,紅
791,公園路516巷,140,1,1號~21號.2號~48號,北區,公園,紅
792,公園路663巷,40,3,2號~20號,北區,公園,紅
793,公園路634巷9弄,80,1.5,1號~17號.2號~22號,北區,公園,紅
794,公園路681巷6弄,116,2,1號~21號.2號~36號,北區,公園,紅
795,公園路746巷,176,3,1號~41號.2號~46號,北區,公園,紅
796,公園路758巷,120,2,1號~59號,北區,公園,紅
797,公園路772巷,96,2,43號~61號.48號~74號,北區,公園,紅
798,公園路788巷,246,2,1號~69號.2號~52號,北區,公園,紅
799,公園路820巷,124,2,1號~25號.2號~36號,北區,公園,紅
800,忠義路三段39巷,92,1,1號~31號.2號~14號,北區,公園,紅
801,西門路四段16巷39弄,160,3,1號~19號.2號~60號,北區,公園,紅
802,北忠街16巷,172,2,1號~43號.2號~42號,北區,公園,紅
803,小東路189巷,96,2,1號~47號,北區,公園,紅
804,前鋒路290巷,64,2,1號~11號.2號~20號,北區,公園,紅
805,公園路862巷,40,4,2號~20號,北區,公園,黃
806,公園路892巷,142,4,1號~39號.2號~36號,北區,公園,黃
807,開元路66巷,140,4,1號~35號.2號~34號,北區,公園,黃
808,開元路68巷,136,4,1號~11號.2號~56號,北區,公園,黃
809,開元路73巷41弄,24,4,1號~12號,北區,公園,黃
810,開元路342巷,76,4,1號~23號.2號~14號,北區,公園,黃
811,南園街49巷,280,4,1號~67號.2號~72號,北區,公園,黃
812,南園街96巷,116,4,1號~29號.2號~26號,北區,公園,黃
813,南園街106巷,32,4,2號~16號,北區,公園,黃
814,南園街127巷17弄,248,4,1號~77號.2號~46號,北區,公園,黃
815,長榮路四段102巷,76,4,1號~13號.2號~22號,北區,公園,黃
816,長榮路四段105巷,80,4,1號~15號.2號~24號,北區,公園,黃
817,長榮路四段114巷,64,4,1號~15號.2號~16號,北區,公園,黃
818,長榮路五段187巷,140,4,1號~27號.2號~42號,北區,公園,黃
819,開南街143巷28弄,152,4,1號~37號.2號~38號,北區,公園,黃
820,開南街165巷6弄,48,4,1號~17號.2號~6號,北區,公園,黃
821,東豐路227巷,132,4,1號~33號.2號~32號,北區,公園,黃
822,東豐路451巷1弄,80,4,7號~11號.2號~34號,北區,公園,黃
823,勝利路262巷,48,4,1號~15號.2號~8號,北區,公園,黃
824,勝利路276巷,40,4,1號~5號.2號~14號,北區,公園,黃
825,勝利路467巷,68,4,1號~25號.2號~8號,北區,公園,黃
826,成功路68巷,192,4,1號~65號.2號~30號,北區,公園,黃
827,佑民街,236,4,1號~71號.2號~46號,北區,公園,黃
828,小北路27巷,10,6,15號,北區,公園,藍
829,觀音街,130,2.4,1-43號.2-90號,安平區,安平分隊,紅
830,效忠街,150,1.7,17-43號.28-52號,安平區,安平分隊,紅
831,中興街,200,1.6,5-63號.8-90號,安平區,安平分隊,紅
832,安平路51巷,50,1.8,1-5號.2-16號,安平區,安平分隊,紅
833,安平路89巷,20,1,1.2號,安平區,安平分隊,紅
834,安平路121巷,80,2.9,1-3號.2-6號,安平區,安平分隊,紅
835,安北路131巷,100,2.2,1-7號.2-10號,安平區,安平分隊,紅
836,安北路121巷,80,2.2,1-9號.2-10號,安平區,安平分隊,紅
837,同平路96巷,110,3,1-53號.2-44號,安平區,安平分隊,紅
838,同平路108巷,110,3.4,1-7號.2-32號,安平區,安平分隊,紅
839,同平路148巷,30,2.5,1-3號.2-4號（無尾巷）,安平區,安平分隊,紅
840,同平路156巷,150,3.9,1-47號.2-48號,安平區,安平分隊,紅
841,運河路52巷,180,2,1-7號.2-6號,安平區,安平分隊,紅
842,運河路13巷,100,2,1-29號.2-16號,安平區,安平分隊,紅
843,運河路23巷,30,1.8,1-29號.2-18號,安平區,安平分隊,紅
844,古堡街81巷,80,2,1-13號.2-6號（無尾巷）,安平區,安平分隊,紅
845,國勝路125巷,20,2,1-5號.2-6號,安平區,安平分隊,紅
846,延平街,120,4,1-107號.2-140號,安平區,安平分隊,黃
847,安平路426巷,90,13,觀世紀大樓,安平區,安平分隊,藍
848,健康三街592巷55號,100,24,都會假期大樓,安平區,安平分隊,藍
849,育平九街192巷71號,150,8,河邊春夢大樓,安平區,安平分隊,藍
850,府安路4段24巷,126,3.5,雙號23棟、單號23棟,安南區,安和分隊,紅
851,府安路4段34巷,114,3.5,雙號18棟、單號18棟,安南區,安和分隊,紅
852,府安路4段91巷8弄,180,3,雙號26棟、單號20棟,安南區,安和分隊,紅
853,府安路4段91巷18弄,110,3,雙號9棟、單號13棟,安南區,安和分隊,紅
854,府安路4段91巷22弄,250,3,雙號40棟、單號36棟,安南區,安和分隊,紅
855,惠安街51巷,160,3.5,雙號32棟、單號40棟,安南區,安和分隊,紅
856,惠安街145巷,280,3.8,雙號32棟、單號32棟,安南區,安和分隊,紅
857,惠安街151巷,280,3.8,雙號32棟、單號32棟,安南區,安和分隊,紅
858,惠安街161巷,280,3.5,單號32棟,安南區,安和分隊,紅
859,安中路1段113巷,105,3,雙號20棟、單號3棟,安南區,安和分隊,紅
860,怡安路1段291巷,105,2.5,雙號6棟、單號4棟,安南區,安和分隊,紅
861,怡安路1段446巷,90,2.2,雙號15棟、單號3棟,安南區,安和分隊,紅
862,怡安路1段447巷,140,2,雙號10棟、單號5棟,安南區,安和分隊,紅
863,安和路1段96巷32弄,120,3.8,雙號20棟、單號16棟,安南區,安和分隊,紅
864,安和路1段220巷61弄,150,3,雙號9樓、單號5棟,安南區,安和分隊,紅
865,安和路1段288巷15弄,120,2.5,雙號4棟、單號8棟,安南區,安和分隊,紅
866,安和路1段288巷109弄,115,3,288巷109弄單號5棟,安南區,安和分隊,紅
867,安和路1段101巷,160,3.8,安和路1段101巷雙號21棟,安南區,安和分隊,紅
868,安和路1段123巷,160,3,安和路1段123巷單號16棟,安南區,安和分隊,紅
869,安和路1段215巷,160,3.4,巷雙號14棟、單號9棟,安南區,安和分隊,紅
870,安和路1段263巷,230,2,雙號15棟、單號5棟,安南區,安和分隊,紅
871,安和路1段285巷,200,2.4,雙號19棟、單號13棟,安南區,安和分隊,紅
872,安和路1段321巷,135,2.3,雙號27棟、單號19棟,安南區,安和分隊,紅
873,安和路1段459巷,100,3.2,雙號17棟、單號7棟,安南區,安和分隊,紅
874,安和路4段101巷,120,2.4,雙號10棟、單號5棟,安南區,安和分隊,紅
875,安和路5段81巷64弄,120,2,64弄雙號8棟、單號4棟,安南區,安和分隊,紅
876,安和路5段171巷47弄,175,3,47弄雙號11棟、單號11棟,安南區,安和分隊,紅
877,安和路5段171巷92弄,140,2.8,92弄雙號5棟、單號7棟,安南區,安和分隊,紅
878,安和路5段171巷181弄,95,2.4,安和路5段171巷181弄單號6棟,安南區,安和分隊,紅
879,安和路5段171巷191弄,95,2.4,安和路5段171巷191弄單號7棟,安南區,安和分隊,紅
880,長溪路1段159巷21弄,100,3.5,雙號17棟、單號16棟,安南區,安和分隊,紅
881,長溪路1段168巷10弄,95,2.5,雙號1棟、單號6棟,安南區,安和分隊,紅
882,長溪路1段168巷166弄,95,2.5,單號4棟,安南區,安和分隊,紅
883,長溪路1段342巷38弄,95,3.5,雙號15棟、單號14棟,安南區,安和分隊,紅
884,長溪路1段476巷,142,3.5,雙號17棟、單號14棟,安南區,安和分隊,紅
885,長溪路1段490巷,120,3.5,雙號8棟、單號10棟,安南區,安和分隊,紅
886,長溪路三段436巷,90,3,8戶,安南區,安和分隊,紅
887,環福街220巷,170,3.3,雙號24棟、單號24棟,安南區,安和分隊,紅
888,公學路一段226巷,190,2.9,2~10.1~41,安南區,安和分隊,紅
889,郡安路4段249巷,160,4,雙號30棟、單號30棟,安南區,安和分隊,黃
890,長溪路1段387巷,132,4,雙號2棟、單號5棟,安南區,安和分隊,黃
891,安中路1段189巷48弄,134,4,雙號28棟、單號27棟,安南區,安和分隊,黃
892,安中路1段189巷70弄,140,4,雙號28棟、單號28棟,安南區,安和分隊,黃
893,安中路1段189巷92弄,144,4,雙號29棟、單號9棟,安南區,安和分隊,黃
894,安中路1段203巷,129,4,雙號16棟、單號16棟,安南區,安和分隊,黃
895,安中路1段354巷,90,4,1棟,安南區,安和分隊,黃
896,安生街78巷,110,4,單號8棟,安南區,安和分隊,黃
897,總安街一段90巷,90,4,雙號9棟、單號8棟,安南區,安和分隊,黃
898,安昌街242巷,98,4,安昌街242巷23號、25號、33號,安南區,安和分隊,黃
899,安昌街254巷,102,4,雙號16棟、單號13棟,安南區,安和分隊,黃
900,安昌街284巷,97,4,安昌街284巷單號11棟,安南區,安和分隊,黃
901,安昌街300巷,103,4,安昌街300巷單號18棟,安南區,安和分隊,黃
902,安和路2段318巷35弄,87,4,雙號15棟、單號17棟,安南區,安和分隊,黃
903,長和路1段845巷24弄,200,4,雙號7棟,安南區,安和分隊,黃
904,環福街216巷,150,4,單號11棟,安南區,安和分隊,黃
905,大安街103巷,90,3.8,1~13.2~14,安南區,安南分隊,紅
906,大安街110巷,180,3.8,1~25.2~24,安南區,安南分隊,紅
907,大安街117巷,50,3.8,1~11,安南區,安南分隊,紅
908,大安街124巷,180,3.8,1~23.2~24,安南區,安南分隊,紅
909,大安街173巷,80,3.8,1~11.2~12,安南區,安南分隊,紅
910,大安街180巷,130,3.3,1~25.16~26,安南區,安南分隊,紅
911,大安街257巷,110,4.3,1~15.2~14,安南區,安南分隊,紅
912,大安街264巷,100,3.8,1~25,安南區,安南分隊,紅
913,大安街59巷,80,2.9,1~11.2~10,安南區,安南分隊,紅
914,大安街75巷,80,3.7,1~9.2~14,安南區,安南分隊,紅
915,大安街82巷,220,3,1~25.2~28,安南區,安南分隊,紅
916,大安街89巷,120,3.8,1~15.2~16,安南區,安南分隊,紅
917,大安街96巷,180,3.8,1~21.2~24,安南區,安南分隊,紅
918,公學路4段234巷,300,3.1,1~61.2~64,安南區,安南分隊,紅
919,本原街一段97巷,350,3.1,80戶,安南區,安南分隊,紅
920,本原街二段132巷,140,2.5以下,20戶,安南區,安南分隊,紅
921,本原街三段134巷,300,3.3,61戶,安南區,安南分隊,紅
922,本原街三段136巷,280,3.1,39戶,安南區,安南分隊,紅
923,本原街三段169巷26弄,80,3.4,12戶,安南區,安南分隊,紅
924,本原街三段234巷,100,3.5,7.9.11.13.15.17.19.21.33.41.45.36.38.40,安南區,安南分隊,紅
925,本原街三段258巷,60,3.8,12.16.22.24.42.48.50.52,安南區,安南分隊,紅
926,本原街三段321巷,350,2.9,2~66.1~79,安南區,安南分隊,紅
927,安中路二段336巷,50,2.8,5戶,安南區,安南分隊,紅
928,安中路三段400巷,100,2.5以下,17,安南區,安南分隊,紅
929,安中路三段407巷,70,2.5以下,10戶,安南區,安南分隊,紅
930,安中路四段4巷,400,2.5以下,84戶,安南區,安南分隊,紅
931,安中路四段290巷,130,3.45,18戶,安南區,安南分隊,紅
932,安富街199巷,70,2.5以下,2~10.1~9,安南區,安南分隊,紅
933,府安路5段11巷,250,3.2,1~25.2~24.36~50.100~112,安南區,安南分隊,紅
934,府安路5段205巷,50,3.4,1.2.3.4.5.54,安南區,安南分隊,紅
935,府安路5段267巷,140,2.9,1~41,安南區,安南分隊,紅
936,府安路6段103巷,130,3.5,18~32.17~35,安南區,安南分隊,紅
937,怡安路2段545巷,70,3.6,2~20,安南區,安南分隊,紅
938,怡安路2段59巷,80,3.7,1~23,安南區,安南分隊,紅
939,長溪路三段373巷51弄,150,2.7,2~42,安南區,安南分隊,紅
940,長溪路三段405巷,100,3.7,1~17.2~10,安南區,安南分隊,紅
941,海中街101巷,230,2.5以下,35戶,安南區,安南分隊,紅
942,海中街121巷,120,2.9,17戶,安南區,安南分隊,紅
943,海中街23巷,180,3.1,26戶,安南區,安南分隊,紅
944,海中街51巷,100,3.7,15戶,安南區,安南分隊,紅
945,海中街54巷9號前,120,2.5以下,9~31.16.20~36,安南區,安南分隊,紅
946,海中街77巷45弄,130,3,13~23.10~18.70.72.76~82.86.88,安南區,安南分隊,紅
947,海佃路二段265巷58弄,80,3.8,2.4.5.9~25,安南區,安南分隊,紅
948,海佃路四段413巷,50,2.8,5.411,安南區,安南分隊,紅
949,海佃路四段388巷,50,2.5以下,7.9,安南區,安南分隊,紅
950,海佃路四段55巷152弄,50,2.9,3.11,安南區,安南分隊,紅
951,海環街256巷,150,2.9,22戶,安南區,安南分隊,紅
952,海環街320巷,60,2.5以下,6~12.15.17,安南區,安南分隊,紅
953,海環街32巷37弄38號前,200,2.5以下,2~38.21~35,安南區,安南分隊,紅
954,郡安路5段184巷24弄,350,3,70戶,安南區,安南分隊,紅
955,郡安路5段164巷9弄,150,3.2,6~28.1~27,安南區,安南分隊,紅
956,郡安路5段31巷,50,3.1,5.7.9.11.13.15,安南區,安南分隊,紅
957,國安街155巷62弄,120,3.3,1~17.2~18,安南區,安南分隊,紅
958,國安街156巷,110,3.5,6.1~29,安南區,安南分隊,紅
959,國安街56巷,200,3.1,1~43.2~32,安南區,安南分隊,紅
960,國安街9巷13號,90,2.9,2~18.1.3.9.13,安南區,安南分隊,紅
961,大安街194巷,70,7,1.2.8.18.19.20.26.29.34,安南區,安南分隊,黃
962,大安街201巷,50,4.8,2.1,安南區,安南分隊,黃
963,大安街222巷,50,4,11.14,安南區,安南分隊,黃
964,大安街264巷,50,4.8,1.3.7.11.17,安南區,安南分隊,黃
965,大安街285巷,50,4.7,1.3.5,安南區,安南分隊,黃
966,府安路五段230巷,50,4.4,18.36.38.62.64.66.76,安南區,安南分隊,黃
967,府安路五段267巷,50,4.2,1.9.15.19.27.29.35,安南區,安南分隊,黃
968,府安路五段27巷,50,4.6,8.12.14,安南區,安南分隊,黃
969,府安路五段35巷,50,4.7,14.11.13.19,安南區,安南分隊,黃
970,府安路五段44巷,50,4.7,6.22.25.33,安南區,安南分隊,黃
971,府安路六段37巷,70,4.1,5.11.18.22.24.37.38.39.40,安南區,安南分隊,黃
972,府安路六段71巷,50,3.8,1.27.31.36.39,安南區,安南分隊,黃
973,府安路六段94巷,50,3.8,1.16.37,安南區,安南分隊,黃
974,海佃路一段227巷,80,4.7,4.9.12.18.20.29.31.44.46.47.54,安南區,安南分隊,黃
975,海佃路一段284巷,70,4.4,11.15.17.30.35.37.41.50,安南區,安南分隊,黃
976,海佃路一段320巷,50,4.1,1.4.28.39,安南區,安南分隊,黃
977,海佃路一段400巷,50,4.7,1.3.14.39.40.48.59,安南區,安南分隊,黃
978,安中路六段554巷,200,2.5,1~27.2~24,安南區,土城分隊,紅
979,安中路六段578巷,250,2.5,1~17.2~18,安南區,土城分隊,紅
980,安中路六段581巷,250,2.5,15戶,安南區,土城分隊,紅
981,安中路六段597巷,250,2.5,12戶,安南區,土城分隊,紅
982,城北路72巷,100,2.5,4戶,安南區,土城分隊,紅
983,城北路98巷6弄,100,2.3,12戶,安南區,土城分隊,紅
984,城西街一段61巷27弄,150,2.5,4戶,安南區,土城分隊,紅
985,城西街一段61巷28弄,250,3,10戶,安南區,土城分隊,紅
986,城西街一段194巷,150,2.5,4戶,安南區,土城分隊,紅
987,城西街一段215巷,100,2.5,5戶,安南區,土城分隊,紅
988,城西街二段263巷,200,2.5,6戶,安南區,土城分隊,紅
989,城北路112巷,150,2,17.27.29,安南區,土城分隊,紅
990,城西街三段484巷,150,2.5,6戶,安南區,土城分隊,紅
991,媽祖宮路137巷,100,2.8,7戶,安南區,土城分隊,紅
992,媽祖宮路159巷,70,2.4,1~7,安南區,土城分隊,紅
993,顯宮二街55巷,100,2.3,1~19.2~6,安南區,土城分隊,紅
994,大眾六街181巷,200,2.8,7戶,安南區,土城分隊,紅
995,顯宮二街58巷,250,3.6,1~29.2~28,安南區,土城分隊,紅
996,顯宮一街,600,3.7,全,安南區,土城分隊,紅
997,媽祖宮二街,400,3.7,全,安南區,土城分隊,紅
998,大眾五街92巷,80,3.3,2~14,安南區,土城分隊,紅
999,府安路七段10巷,145,4,12.14.15.17,安南區,土城分隊,紅
1000,府安路七段19巷,145,4,3.4,安南區,土城分隊,紅
1001,府安路七段28巷,145,4,2.13.17,安南區,土城分隊,紅
1002,府安路七段37巷,145,4,3.7,安南區,土城分隊,紅
1003,府安路七段48巷,145,4,23,安南區,土城分隊,紅
1004,府安路七段57巷,145,4,3.9.10.11.12.17.24.28,安南區,土城分隊,紅
1005,府安路七段66巷,145,4,3.7.12.14.17.19.21.23.25,安南區,土城分隊,紅
1006,府安路七段75巷,145,4,11.19.26,安南區,土城分隊,紅
1007,府安路七段84巷,145,4,3.12.14.16.19.23,安南區,土城分隊,紅
1008,府安路七段93巷,145,4,6.8.12.14,安南區,土城分隊,紅
1009,府安路七段102巷,145,4,全,安南區,土城分隊,紅
1010,北汕尾二路550巷,400,3.6,全,安南區,土城分隊,紅
1011,北汕尾ㄧ路439巷,350,3.6,16.18.15.17.11.18-1.13.19.23.37.39,安南區,土城分隊,紅
1012,北汕尾二路800巷,200,3,全,安南區,土城分隊,紅
1013,大眾六街42巷,100,3,2.3.13.15.17.20,安南區,土城分隊,紅
1014,大眾六街126巷,300,3,3.7.13.18.28.47.49,安南區,土城分隊,紅
1015,公學路五段697巷,300,5,安南居易大樓附近街道雲梯車無法操作,安南區,土城分隊,紅
1016,公學路六段458巷,50,4,3戶,安南區,土城分隊,紅
1017,公學路六段490巷,50,4,5戶,安南區,土城分隊,紅
1018,公學路六段642巷,60,4,6戶,安南區,土城分隊,紅
1019,公學路六段660巷,80,4,5戶,安南區,土城分隊,紅
1020,公學路六段672巷,50,4,2戶,安南區,土城分隊,紅
1021,公學路五段363巷,120,4,13戶,安南區,土城分隊,紅
1022,安興街43巷,120,4,20戶,安南區,土城分隊,紅
1023,安興街120巷,40,4,5戶,安南區,土城分隊,紅
1024,安興街702巷,50,4,14戶,安南區,土城分隊,紅
1025,安興街156巷,50,4,5戶,安南區,土城分隊,紅
